country,foreign_entity_name,client_name,foreign_ownership_pct,foreign_contribution,filing_year
Virgin Islands (British),BYTETEAM LTD (OWNS APPROX. 21 % OF BYTEDANCE LTD),TIKTOK INC.,21.0,0.0,2023
Virgin Islands (British),OKC INTERNATIONAL HOLDING COMPANY LIMITED,OKCOIN USA INC.,100.0,0.0,2023
Virgin Islands (British),STARXU CAPITAL LIMITED,OKCOIN USA INC.,29.26,0.0,2023
Virgin Islands (British),OKEM SERVICES COMPANY LIMITED,OKCOIN USA INC.,43.89,0.0,2023
Virgin Islands (British),JOCASTA HOLDINGS INC.,CONSORCIO AZUCARERO DE EMPRESAS INDUSTRIALES (CAEI),100.0,0.0,2023
Virgin Islands (British),TALON METALS CORPORATION,TALON NICKEL (USA) LLC,100.0,0.0,2023
Cayman Islands,TRIP.COM (SHOWING OWNERSHIP INTEREST IN SKYSCANNER HOLDINGS LIMITED),SKYSCANNER LIMITED,100.0,0.0,2023
Cayman Islands,POLYGON LABS HOLDINGS (CAYMAN) LTD.,POLYGON LABS SERVICES (SWITZERLAND) AG,100.0,0.0,2023
Cayman Islands,SANKET SHAH (POLYGON FOUNDATION DIRECTOR),POLYGON LABS SERVICES (SWITZERLAND) AG,0.0,0.0,2023
Cayman Islands,MIHAILO BJELIC (THROUGH HOLDINGS IN POLYGON LABS HOLDINGS (CAYMAN) LTD.,POLYGON LABS SERVICES (SWITZERLAND) AG,22.76,0.0,2023
Cayman Islands,POLYGON FOUNDATION (THROUGH HOLDINGS IN POLYGON LABS HOLDINGS (CAYMAN) LTD),POLYGON LABS SERVICES (SWITZERLAND) AG,77.24,0.0,2023
Cayman Islands,SANDEEP NAILWAL (POLYGON FOUNDATION DIRECTOR),POLYGON LABS SERVICES (SWITZERLAND) AG,0.0,0.0,2023
Cayman Islands,ANTONI MARTIN BELTRAN (POLYGON FOUNDATION DIRECTOR),POLYGON LABS SERVICES (SWITZERLAND) AG,0.0,0.0,2023
Cayman Islands,JORDI BAYLINA (POLYGON FOUNDATION DIRECTOR),POLYGON LABS SERVICES (SWITZERLAND) AG,0.0,0.0,2023
Cayman Islands,"ELITE DEPOT, LTD.",SHEIN TECHNOLOGY LLC,100.0,0.0,2023
Cayman Islands,"ELITE DEPOT, LTD.",SHEIN TECHNOLOGY LLC,100.0,0.0,2023
Cayman Islands,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),BYTEDANCE INC.,100.0,0.0,2023
Cayman Islands,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OR TIKTOK INC.),BYTEDANCE INC.,100.0,0.0,2023
Cayman Islands,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),TIKTOK INC.,100.0,0.0,2023
Cayman Islands,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OF TIKTOK INC.),TIKTOK INC.,100.0,0.0,2023
Cayman Islands,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),BYTEDANCE INC.,100.0,0.0,2023
Cayman Islands,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OF TIKTOK INC.),BYTEDANCE INC.,100.0,0.0,2023
Cayman Islands,BYTEDANCE LTD (OWNS 100% OF BYTEDANCE INC; 100% OF TIKTOK LTD.),TIKTOK INC.,100.0,0.0,2023
Cayman Islands,TIKTOK LTD (OWNS 100% OF TIK TOK LLC WHICH OWNS 100% OF TIK TOK INC),TIKTOK INC.,100.0,0.0,2023
Cayman Islands,OKC HOLDINGS CORPORATION,OKCOIN USA INC.,100.0,0.0,2023
Cayman Islands,WH INTERMEDIATE HOLDINGS LTD.,HERBALIFE INTERNATIONAL OF AMERICA INC,100.0,0.0,2023
Cayman Islands,HERBALIFE LTD.,HERBALIFE INTERNATIONAL OF AMERICA INC,100.0,0.0,2023
Cayman Islands,HBL HOLDINGS LTD.,HERBALIFE INTERNATIONAL OF AMERICA INC,49.0,0.0,2023
Cayman Islands,BALSAM BRANDS GROUP LLC,"BALSAM BRANDS, INC.",100.0,0.0,2023
Luxembourg,WH LUXEMBOURG HOLDINGS S.A R.L.,HERBALIFE INTERNATIONAL OF AMERICA INC,100.0,0.0,2023
Luxembourg,HBL LUXEMBOURG HOLDINGS S.A R.L.,HERBALIFE INTERNATIONAL OF AMERICA INC,100.0,0.0,2023
Luxembourg,HBL LUXEMBOURG SERVICES S.A R.L.,HERBALIFE INTERNATIONAL OF AMERICA INC,100.0,0.0,2023
Luxembourg,ARCELORMITTAL S.A.,ARCELORMITTAL NORTH AMERICA HOLDINGS LLC,100.0,0.0,2023
Bermuda,GENEVANT SCIENCES LTD.,"GENEVANT SCIENCES, INC.",0.0,0.0,2023
Bermuda,ROIVANT SCIENCES LTD.,"GENEVANT SCIENCES, INC.",0.0,0.0,2023
Bermuda,GENEVANT SCIENCES LTD. (GSL),"GENEVANT SCIENCES, INC.",100.0,0.0,2023
Bermuda,ROIVANT SCIENCES LTD,"GENEVANT SCIENCES, INC.",83.0,0.0,2023
Bermuda,KCK 3D LTD.,"BEEHIVE INDUSTRIES, LLC",85.0,0.0,2023
Virgin Islands (British),DJI COMPANY LIMITED,"DJI TECHNOLOGY, INC.",100.0,0.0,2024
Virgin Islands (British),DJI INTERNATIONAL COMPANY LIMITED,"DJI TECHNOLOGY, INC.",100.0,0.0,2024
Virgin Islands (British),WANGDRAGONA INC.,"DJI TECHNOLOGY, INC.",40.0,0.0,2024
Virgin Islands (British),BEAUTY OF FASHION INVESTMENT CO. LTD.,SHEIN TECHNOLOGY LLC,100.0,0.0,2024
Virgin Islands (British),VIRGIN INVESTMENTS LIMITED,VIRGIN GALACTIC,8.0,0.0,2024
Virgin Islands (British),BYTETEAM LTD (OWNS APPROX. 21 % OF BYTEDANCE LTD),TIKTOK INC.,21.0,0.0,2024
Cayman Islands,POLYGON LABS HOLDINGS (CAYMAN) LIMITED,POLYGON LABS SERVICES (SWITZERLAND) AG,100.0,0.0,2024
Cayman Islands,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),BYTEDANCE INC.,100.0,0.0,2024
Cayman Islands,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OF TIKTOK INC.),BYTEDANCE INC.,100.0,0.0,2024
Cayman Islands,"ELITE DEPOT, LTD.",SHEIN TECHNOLOGY LLC,100.0,0.0,2024
Cayman Islands,KAVAK HOLDINGS LIMITED,"DRIVERDO LLC, DBA DRAIVER",100.0,0.0,2024
Cayman Islands,BYTEDANCE LTD (OWNS 100% OF BYTEDANCE INC; 100% OF TIKTOK LTD.),TIKTOK INC.,100.0,0.0,2024
Cayman Islands,TIKTOK LTD (OWNS 100% OF TIK TOK LLC WHICH OWNS 100% OF TIK TOK INC),TIKTOK INC.,100.0,0.0,2024
Cayman Islands,GLOBALFOUNDRIES INC. (OWNS 99% OF GLOBALFOUNDRIES NETHERLANDS COOPERATIEF U.A.),GLOBALFOUNDRIES U.S. INC.,99.0,0.0,2024
Bermuda,BROOKFIELD RENEWABLE ENERGY L.P.,BROOKFIELD US POWER US ASSET MANAGEMENT LLC,81.2,0.0,2024
Bermuda,BROOKFIELD RENEWABLE PARTNERS L.P.,BROOKFIELD US POWER US ASSET MANAGEMENT LLC,81.2,0.0,2024
Virgin Islands (British),PAG ASIA CAPITAL LEXMARK HOLDING LIMITED,"XEROX HOLDINGS CORPORATION (FORMERLY LEXMARK INTERNATIONAL, INC.)",32.51,0.0,2025
Cayman Islands,APEX KM TECHNOLOGY LIMITED,"XEROX HOLDINGS CORPORATION (FORMERLY LEXMARK INTERNATIONAL, INC.)",100.0,0.0,2025
Cayman Islands,NINESTAR GROUP COMPANY LIMITED,"XEROX HOLDINGS CORPORATION (FORMERLY LEXMARK INTERNATIONAL, INC.)",100.0,0.0,2025
Cayman Islands,UPL CORPORATION LTD.,"UPL NA, INC.",100.0,0.0,2023
Cayman Islands,NINESTAR HOLDINGS COMPANY LIMITED,"XEROX HOLDINGS CORPORATION (FORMERLY LEXMARK INTERNATIONAL, INC.)",100.0,0.0,2025
Cayman Islands,PAG ASIA II LP,"XEROX HOLDINGS CORPORATION (FORMERLY LEXMARK INTERNATIONAL, INC.)",32.51,0.0,2025
Cayman Islands,GRASS FOUNDATION,GRASS OPCO LTD.,100.0,0.0,2025
Cayman Islands,INJECTIVE FOUNDATION,"INJECTIVE, LLC",100.0,0.0,2025
Luxembourg,AI ALPINE (LUXEMBOURG) S.A.R.L (LUXEMBOURG),"INNIO WAUKESHA GAS ENGINES, INC.",100.0,0.0,2025
Luxembourg,AL ALPINE & CY. S.C.A. (LUXEMBOURG),"INNIO WAUKESHA GAS ENGINES, INC.",100.0,0.0,2025
Luxembourg,AL ALPINE PARENT & CY. S.C.A. (LUXEMBOURG),"INNIO WAUKESHA GAS ENGINES, INC.",99.24,0.0,2025
Luxembourg,LUXINVA S.A. (LUXEMBOURG),"INNIO WAUKESHA GAS ENGINES, INC.",44.67,0.0,2025
Luxembourg,AL ALPINE (LUXEMBOURG) INTERMEDIATE S.A.R.L (LUXEMBOURG),"INNIO WAUKESHA GAS ENGINES, INC.",53.53,0.0,2025
Luxembourg,AL ALPINE 2 (LUXEMBOURG) SUBCO S.A.R.L B276379,"INNIO WAUKESHA GAS ENGINES, INC.",53.53,0.0,2025
Luxembourg,AI GLOBAL INVESTMENTS II & CY S.C.A (LUXEMBOURG),"INNIO WAUKESHA GAS ENGINES, INC.",53.53,0.0,2025
Virgin Islands (British),"BIOHAVEN, LTD.","BIOHAVEN PHARMACEUTICALS, INC.",100.0,0.0,2022
Virgin Islands (British),EZBON INTERNATIONAL LIMITED,STOKE THERAPEUTICS,20.0,0.0,2022
Virgin Islands (British),PAG ASIA CAPITAL LEXMARK HOLDING LIMITED,LEXMARK INTERNATIONAL INC.,42.94,0.0,2022
Virgin Islands (British),BYTETEAM LTD (OWNS APPROXIMATELY 21% OF BYTEDANCE LTD),BYTEDANCE INC.,21.0,0.0,2022
Virgin Islands (British),PAG ASIA CAPITAL LEXMARK HOLDING LIMITED,LEXMARK INTERNATIONAL INC.,42.94,0.0,2022
Cayman Islands,ETERNAL TSINGSHAN (100% OWNED BY WINTS INVESTMENT),YONGQING LIMITED LIABILITY COMPANY,100.0,0.0,2022
Cayman Islands,QUANTINUUM (CAYMAN),QUANTINUUM LLC,54.0,0.0,2022
Cayman Islands,GALAXY DIGITAL HOLDINGS LTD.,GALAXY DIGITAL HOLDINGS LP,30.0,0.0,2022
Cayman Islands,BYTEDANCE LTD (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD),BYTEDANCE INC.,100.0,0.0,2022
Luxembourg,NOAL SCSP,NSO GROUP TECHNOLOGIES LTD.,70.0,0.0,2022
Bermuda,WEJO GROUP LIMITED,"WEJO DATA SERVICES, INCORPORATED",100.0,0.0,2022
Bermuda,WEJO BERMUDA LIMITED,"WEJO DATA SERVICES, INCORPORATED",100.0,0.0,2022
Bermuda,BROOKFIELD PROPERTY PARTNERS L.P. (99.89% OWNED BY BROOKFIELD ASSET MANAGEMENT INC.),"PRINCE KUHIO PLAZA, LLC",90.25,0.0,2022
Virgin Islands (British),ESQUEL HOLDINGS INC.,ESQUEL ENTERPRISES LIMITED,100.0,0.0,2023
Virgin Islands (British),CHROMUS INC,ESQUEL ENTERPRISES LIMITED,100.0,0.0,2023
Virgin Islands (British),MARJORIE YANG,ESQUEL ENTERPRISES LIMITED,50.0,0.0,2023
Virgin Islands (British),TERESA YANG,ESQUEL ENTERPRISES LIMITED,50.0,0.0,2023
Virgin Islands (British),BYTETEAM LTD (OWNS APPROX. 21% OF BYTEDANCE LTD.),TIKTOK INC.,21.0,0.0,2023
Cayman Islands,BYTEDANCE LTD (OWNS 100% OF BYTEDANCE INC; 100% OF TIKTOK LTD.),TIKTOK INC.,100.0,0.0,2023
Cayman Islands,TIKTOK LTD. (OWNS 100% OF TIK TOK LLC WHICH OWNS 100% OF TIKTOK INC.),TIKTOK INC.,100.0,0.0,2023
Luxembourg,ARCELORMITTAL S.A.,ARCELORMITTAL NORTH AMERICA HOLDINGS LLC,100.0,0.0,2023
Virgin Islands (British),GOGOKU LTD. (OWNS APPROXIMATELY 21% OF BYTEDANCE LTD.)(FORMERLY BYTETEAM LTD.),BYTEDANCE INC.,21.0,0.0,2025
