filing_year,filing_period,issue_code,total_spend,quarter,issue_display
2024,fourth_quarter,DEF,65574685.17112391,4,Defense
2024,fourth_quarter,TRA,37504132.23525136,4,Transportation
2024,fourth_quarter,COM,13325649.126139728,4,Communications/Broadcasting/Radio/TV
2024,fourth_quarter,IMM,14598261.761188352,4,Immigration
2024,fourth_quarter,LBR,29951892.006145522,4,Labor Issues/Antitrust/Workplace
2025,second_quarter,TRA,41499176.44085434,2,Transportation
2024,second_quarter,MMM,65354565.018381506,2,Medicare/Medicaid
2025,second_quarter,DEF,78354067.29531166,2,Defense
2023,first_quarter,LBR,31997677.427710168,1,Labor Issues/Antitrust/Workplace
2024,third_quarter,TAX,114485932.75004075,3,Taxation/Internal Revenue Code
2025,second_quarter,RES,3547291.8905067155,2,Real Estate/Land Use/Conservation
2024,third_quarter,TEC,32368514.591776304,3,Telecommunications
2026,first_quarter,TRA,42842702.629268125,1,Transportation
2023,first_quarter,COM,15609308.3977813,1,Communications/Broadcasting/Radio/TV
2023,first_quarter,TRA,43527629.79932584,1,Transportation
2022,first_quarter,HOM,22486856.15486289,1,Homeland Security
2023,first_quarter,DEF,56220329.27630259,1,Defense
2023,first_quarter,LAW,9744591.462264344,1,Law Enforcement/Crime/Criminal Justice
2024,third_quarter,IND,7096830.8314390285,3,Indian/Native American Affairs
2024,first_quarter,TAR,2549805.3078522356,1,Tariff (miscellaneous tariff bills)
2023,third_quarter,TRD,52585261.19307552,3,Trade (domestic/foreign)
2026,first_quarter,DEF,89200328.26125082,1,Defense
2026,first_quarter,ENG,65717780.915950045,1,Energy/Nuclear
2025,fourth_quarter,TRD,95749388.11175892,4,Trade (domestic/foreign)
2025,second_quarter,RRR,5001324.4820628045,2,Railroads
2022,third_quarter,TRD,49653248.22609048,3,Trade (domestic/foreign)
2025,second_quarter,ENG,62603786.77661261,2,Energy/Nuclear
2024,third_quarter,BEV,1313645.73992674,3,Beverage Industry
2022,first_quarter,AER,6019273.014273308,1,Aerospace
2025,third_quarter,CPI,18011504.96574509,3,Computer Industry
2025,second_quarter,LBR,29317101.15327326,2,Labor Issues/Antitrust/Workplace
2023,fourth_quarter,ECN,6865173.220351806,4,Economics/Economic Development
2024,third_quarter,FIN,52851734.19945547,3,Financial Institutions/Investments/Securities
2025,second_quarter,CAW,8741566.478109524,2,Clean Air and Water (quality)
2023,second_quarter,TRD,53983186.753671296,2,Trade (domestic/foreign)
2024,fourth_quarter,CAW,8457442.762266662,4,Clean Air and Water (quality)
2023,first_quarter,IMM,15345673.903275793,1,Immigration
2024,first_quarter,AGR,28586788.487192348,1,Agriculture
2023,fourth_quarter,NAT,15991732.508585,4,Natural Resources
2022,first_quarter,PHA,13833203.17534612,1,Pharmacy
2026,first_quarter,IMM,18857185.447688244,1,Immigration
2025,fourth_quarter,SCI,30328489.605706174,4,Science/Technology
2024,third_quarter,AVI,16761891.97221476,3,Aviation/Airlines/Airports
2025,fourth_quarter,MAN,18515757.62742878,4,Manufacturing
2024,second_quarter,URB,3244717.4588744584,2,Urban Development/Municipalities
