filing_year,filing_period,issue_code,total_spend,quarter,issue_display
2022,second_quarter,TRU,2125495.358699601,2,Trucking/Shipping
2022,third_quarter,ART,1326672.8754578754,3,Arts/Entertainment
2023,second_quarter,ADV,2169044.1930618403,2,Advertising
2024,second_quarter,TRU,2466941.076862027,2,Trucking/Shipping
2023,third_quarter,GAM,2235598.095238095,3,Gaming/Gambling/Casino
2023,second_quarter,UNM,413385.4517120306,2,Unemployment
2025,fourth_quarter,ADV,2417329.85513025,4,Advertising
2025,second_quarter,MIA,2640680.186147186,2,Media (information/publishing)
2022,third_quarter,ALC,1513615.317118834,3,Alcohol and Drug Abuse
2025,second_quarter,FAM,1408153.6978815629,2,Family issues/Abortion/Adoption
2023,third_quarter,ADV,2233612.127578304,3,Advertising
2024,second_quarter,ACC,2282028.4238816737,2,Accounting
2022,second_quarter,APP,581804.3952380952,2,Apparel/Clothing Industry/Textiles
2023,first_quarter,MIA,2496476.1904761903,1,Media (information/publishing)
2022,first_quarter,DOC,151889.1900946276,1,District of Columbia
2024,third_quarter,WAS,1053593.3713257501,3,Waste (hazardous/solid/interstate/nuclear)
2023,fourth_quarter,TOU,3758234.1956430664,4,Travel/Tourism
2024,first_quarter,WAS,1413714.678778468,1,Waste (hazardous/solid/interstate/nuclear)
2022,third_quarter,UNM,2330463.6095238095,3,Unemployment
2024,second_quarter,APP,989890.006926407,2,Apparel/Clothing Industry/Textiles
